Location;New Cases;New Deaths;Total Cases;Total Recovered;Total Active Cases
Riau;147;3;25113;23221;1307
Riau;166;3;26332;24276;1439
Riau;88;2;26420;24374;1427
Riau;266;2;26686;24452;1613
Riau;138;5;26824;24541;1657
Riau;93;1;26917;24660;1630
Riau;170;2;27087;24846;1612
Riau;96;5;27183;25012;1537
Riau;188;1;27371;25150;1586
Riau;88;6;27459;25290;1528
Riau;167;4;27626;25431;1550
Riau;68;6;25181;23349;1241
Riau;122;5;27748;25581;1517
Riau;137;5;27885;25677;1553
Riau;122;1;28007;25881;1470
Riau;112;7;28119;26021;1435
Riau;153;5;28272;26120;1484
Riau;44;2;28316;26289;1357
Riau;132;9;28448;26388;1381
Riau;129;2;28577;26547;1349
Riau;116;1;28693;26663;1348
Riau;96;2;28789;26811;1294
Riau;81;5;25262;23505;1161
Riau;89;2;28878;26941;1251
Riau;130;1;29008;27081;1240
Riau;110;2;25372;23601;1173
Riau;160;2;25532;23693;1239
Riau;169;1;25701;23808;1292
Riau;139;1;25840;23901;1337
Riau;192;5;26032;24015;1410
Riau;134;7;26166;24168;1384
Riau;259;7;7889;4204;3519
Riau;233;9;9669;6081;3369
Riau;307;5;9976;6189;3563
Riau;206;2;10182;6305;3651
Riau;162;4;10344;6418;3696
Riau;295;12;10639;6535;3862
Riau;183;6;10822;6655;3919
Riau;278;2;11100;6764;4086
Riau;256;8;11356;6887;4211
Riau;285;4;11641;6998;4381
Riau;198;5;11839;7503;4069
Riau;178;6;8067;4359;3536
Riau;169;2;12008;8132;3607
Riau;315;9;12323;8439;3606
Riau;282;6;12605;8611;3710
Riau;275;6;12880;8865;3725
Riau;379;9;13259;9142;3818
Riau;288;3;13547;9683;3562
Riau;206;4;13753;9945;3502
Riau;247;6;14000;10241;3447
Riau;249;6;14249;10506;3425
Riau;261;6;14510;10730;3456
Riau;175;5;8242;4816;3249
Riau;161;6;14671;10977;3364
Riau;127;5;14798;11208;3255
Riau;166;6;8408;5034;3191
Riau;297;8;8705;5313;3201
Riau;132;7;8837;5495;3144
Riau;150;2;8987;5757;3030
Riau;246;4;9233;5855;3174
Riau;203;6;9436;5928;3298
Riau;25;2;14823;11372;3114
Riau;152;0;15907;13303;2239
Riau;146;10;16053;13792;1886
Riau;116;3;16169;13878;1913
Riau;146;3;16315;13968;1966
Riau;130;1;16445;14019;2044
Riau;163;3;16608;14224;1999
Riau;148;8;16756;14348;2015
Riau;268;2;17024;14389;2240
Riau;274;2;17298;14637;2264
Riau;688;3;17986;15632;1954
Riau;9;2;14832;11528;2965
Riau;176;5;18162;15830;1927
Riau;308;4;18470;15952;2109
Riau;171;5;18641;16131;2096
Riau;113;2;18754;16264;2074
Riau;138;3;18892;16380;2093
Riau;236;5;19128;16560;2144
Riau;206;4;19334;16760;2146
Riau;261;8;19595;16958;2201
Riau;170;8;19765;17214;2107
Riau;173;6;19938;17408;2080
Riau;99;2;14931;11871;2719
Riau;136;6;20074;17578;2040
Riau;168;4;15099;12120;2634
Riau;176;2;15275;12438;2490
Riau;143;7;15418;12648;2416
Riau;165;5;15583;13003;2221
Riau;158;4;15741;13164;2214
Riau;14;2;15755;13292;2098
Riau;163;2;20237;17861;1918
Riau;139;5;21846;19378;1970
Riau;149;3;21995;19558;1936
Riau;178;4;22173;19785;1883
Riau;181;3;22354;19938;1908
Riau;78;3;22432;20105;1816
Riau;177;3;22609;20229;1866
Riau;153;4;22762;20452;1792
Riau;288;5;23050;20649;1878
Riau;184;9;23234;20849;1853
Riau;372;5;23606;21032;2037
Riau;227;5;20464;18036;1965
Riau;121;2;23727;21160;2028
Riau;76;4;23803;21259;2001
Riau;116;1;23919;21424;1951
Riau;96;3;24015;21629;1839
Riau;214;4;24229;21741;1937
Riau;79;7;24308;22022;1728
Riau;93;8;24401;22213;1622
Riau;117;2;24518;22398;1552
Riau;81;4;24599;22570;1457
Riau;116;3;24715;22888;1252
Riau;179;5;20643;18196;1979
Riau;141;4;24856;23000;1277
Riau;110;3;24966;23077;1307
Riau;155;2;20798;18352;1976
Riau;114;3;20912;18558;1881
Riau;225;3;21137;18749;1912
Riau;164;5;21301;18935;1885
Riau;171;6;21472;19078;1907
Riau;235;6;21707;19264;1950
Riau;21;3;29029;27201;1138
Riau;173;4;29842;28104;1024
Riau;89;3;29931;28148;1066
Riau;96;3;30027;28240;1067
Riau;47;2;30074;28344;1008
Riau;67;1;30141;28432;986
Riau;56;2;30197;28483;989
Riau;80;4;30277;28555;993
Riau;22;1;30299;28612;957
Riau;109;2;30408;28723;953
Riau;69;3;30477;28797;945
Riau;78;1;29107;27311;1105
Riau;133;8;30610;28968;899
Riau;197;1;30807;29059;1004
Riau;51;2;30858;29153;959
Riau;116;3;30974;29212;1013
Riau;110;2;31084;29267;1066
Riau;133;2;31217;29330;1134
Riau;69;4;31286;29415;1114
Riau;49;4;31335;29471;1103
Riau;63;2;31398;29562;1073
Riau;104;1;29211;27446;1073
Riau;92;5;29303;27504;1102
Riau;68;3;29371;27611;1060
Riau;70;3;29441;27741;997
Riau;93;3;29534;27818;1010
Riau;62;1;29596;27892;997
Riau;73;3;29669;27975;984
Riau;55;2;31453;29637;1051
Riau;0;0;1;0;1
Riau;107;2;32319;30476;1055
Riau;0;0;1;0;1
Riau;111;1;32430;30526;1115
Riau;0;0;1;0;1
Riau;58;4;32488;30576;1119
Riau;0;0;1;0;1
Riau;66;3;32554;30683;1075
Riau;0;0;1;0;1
Riau;169;4;32723;30794;1129
Riau;0;0;1;0;1
Riau;69;1;32792;30892;1099
Riau;0;0;1;0;1
Riau;117;3;32909;30944;1161
Riau;0;0;1;0;1
Riau;82;1;32991;31065;1121
Riau;0;0;1;0;1
Riau;108;1;33099;31121;1172
Riau;0;0;1;0;1
Riau;132;7;33231;31332;1086
Riau;1;0;1;0;1
Riau;89;1;31542;29743;1033
Riau;0;0;1;0;1
Riau;219;3;33450;31446;1188
Riau;0;0;1;0;1
Riau;49;0;33499;31558;1125
